itemString,marketValue,minBuyout,historical,numAuctions,date
109218,217981,30000,519564,3,2021-03-15 07:54:20
37701,23516,10000,18975,16,2021-03-15 07:54:20
2452,85067,29900,159057,9,2021-03-15 07:54:20
69962,15575143,7001600,8561011,5,2021-03-15 07:54:20
52979,194557,190000,63783,9,2021-03-15 07:54:20
52186,2598417,2940000,671274,17,2021-03-15 07:54:20
109142,7450,6000,11133,10,2021-03-15 07:54:20
74709,1714531,2945200,745698,2,2021-03-15 07:54:20
7911,135992,69900,177445,19,2021-03-15 07:54:20
94049,27014103,33248000,26114511,1,2021-03-15 07:54:20
87881,5093453,4989000,6809408,7,2021-03-15 07:54:20
112283,45603045,50000000,34624885,2,2021-03-15 07:54:20
67151,75255875,70000000,61462720,28,2021-03-15 07:54:20
37770,12622037,13187100,11494208,1,2021-03-15 07:54:20
10620,7095,5000,8576,31,2021-03-15 07:54:20
72092,190368,170100,183943,36,2021-03-15 07:54:20
72120,58042,20000,42051,35,2021-03-15 07:54:20
23446,248465,200000,460002,6,2021-03-15 07:54:20
110682,6123348,1500000,2185154,3,2021-03-15 07:54:20
76133,214074,280000,373924,10,2021-03-15 07:54:20
108304,361646428,200000,360291596,2,2021-03-15 07:54:20
128316,1868951,7210100,1006174,10,2021-03-15 07:54:20
124252,94509711,100000000,73800923,2,2021-03-15 07:54:20
79249,999900,0,820498,0,2021-03-15 07:54:20
52329,556495,385000,350441,31,2021-03-15 07:54:20
112280,399413871,450000000,31476976,1,2021-03-15 07:54:20
6532,92653,90000,85406,1,2021-03-15 07:54:20
53010,15646,9800,17890,22,2021-03-15 07:54:20
109153,174687,150000,726746,3,2021-03-15 07:54:20
31183,216230794,200002000,192237068,3,2021-03-15 07:54:20
783,94911,120000,111059,14,2021-03-15 07:54:20
36376,503761,490000,317904,3,2021-03-15 07:54:20
21884,4791969,4369900,6264538,11,2021-03-15 07:54:20
6661,36927283,47632600,7527964,9,2021-03-15 07:54:20
2453,96549,60000,125643,14,2021-03-15 07:54:20
82032,17514902,2225600,5141156,2,2021-03-15 07:54:20
43102,754745,750000,923694,9,2021-03-15 07:54:20
82084,6374835,0,5920479,0,2021-03-15 07:54:20
3358,146095,90000,278212,6,2021-03-15 07:54:20
112293,275506,0,3262608,0,2021-03-15 07:54:20
111452,1166566,0,2758232,0,2021-03-15 07:54:20
40206,16543304,16536000,17612490,4,2021-03-15 07:54:20
52983,271424,209900,206491,32,2021-03-15 07:54:20
36926,118367,100000,108209,12,2021-03-15 07:54:20
36538,80901444,82760000,72305401,2,2021-03-15 07:54:20
43012,52458,75000,1199728,5,2021-03-15 07:54:20
32753,55628,50000,164432,9,2021-03-15 07:54:20
31282,131059400,0,52889803,0,2021-03-15 07:54:20
55363,19465906,19509900,8869216,1,2021-03-15 07:54:20
36903,21571,20000,123365,7,2021-03-15 07:54:20
71361,5115527,4509600,3010807,6,2021-03-15 07:54:20
8827,1044744,2259900,461424,4,2021-03-15 07:54:20
13489,413257440,0,187596208,0,2021-03-15 07:54:20
108299,205141195,250000000,8432782,1,2021-03-15 07:54:20
106672,23590866,0,33609817,0,2021-03-15 07:54:20
106687,13586021,40001200,6362288,1,2021-03-15 07:54:20
43297,105297339,97499900,83181250,2,2021-03-15 07:54:20
36934,208298,409600,376941,7,2021-03-15 07:54:20
113261,7915,4400,8903,14,2021-03-15 07:54:20
4708,1137161,1375300,1738306,1,2021-03-15 07:54:20
72237,6927,10000,15063,14,2021-03-15 07:54:20
23445,946706,1759900,1526726,5,2021-03-15 07:54:20
22574,516892,450000,714426,19,2021-03-15 07:54:20
36488,29225131,0,10135874,0,2021-03-15 07:54:20
